,user,id,date,hashtags,text,data
0,grebprog,1302219720767213568,2020-09-05 15:19:10+00:00,,key coronavirus forecast predicts 410000 total us deaths jan 1 worst yet come cnbc via googlenews,Key coronavirus forecast predicts over 410000 total US deaths by Jan 1 The worst is yet to come CNBC via GoogleNews
1,Wwolfhunt,1302219716086435840,2020-09-05 15:19:09+00:00,,sickness worrying coronavirus incompetence vanity killed 190000 americans growing,The sickness you should be worrying about is coronavirus and your incompetence and vanity have killed over 190000 Americans and growing
2,TriviaAi,1302219710419722240,2020-09-05 15:19:07+00:00,,countries ban americans visiting since shithole infestation coronavirus corruption ignorance might change psychopath president convicted treason hanged populace,Most countries ban Americans from visiting since it is a shithole of infestation coronavirus corruption ignorance It might change if a psychopath president is convicted of treason and hanged by his own populace
3,sharonbabes1,1302219708972896256,2020-09-05 15:19:07+00:00,#coronavirus,well done clap spreading coronavirus arses,Well done a clap for spreading coronavirus arses
4,worldbankchina,1302219707488129024,2020-09-05 15:19:06+00:00,#COVID19 #coronavirus #WorldBankPodcast,covid19 coronavirus potential strain healthcare economies development podcast hear africacdcs laktarr001 wbghealths dr muhammed pate coordinated response worldbankpodcast,COVID19 coronavirus has the potential to strain healthcare and economies In this Development Podcast we hear from AfricaCDCs laktarr001 and WBGHealths Dr Muhammed Pate about the coordinated response WorldBankPodcast
5,stevebeasant,1302219683119140864,2020-09-05 15:19:01+00:00,#Coronavirus,coronavirus new local lockdown rules,Coronavirus What are the new local lockdown rules
6,LindaGMan1,1302219679080099840,2020-09-05 15:19:00+00:00,#Coronavirus #Covid19 #Health #HealthNews #Science,vitamin deficiency could linked increased risk covid19 university chicago researchers say coronavirus covid19 health healthnews science,Vitamin D deficiency could be linked to increased risk of COVID19 University of Chicago researchers say Coronavirus Covid19 Health HealthNews Science
7,MrASTM,1302219671769427968,2020-09-05 15:18:58+00:00,#FoxNews,left us entirely moved places like italy switzerland france yes coronavirus homeless crisis tax issues wealthy los angelenos wanting celebrities running away foxnews,there have been some who have left the US entirely have moved to places like Italy and Switzerland France Yes Coronavirus homeless crisis tax issues have some wealthy Los Angelenos wanting out Celebrities are running away FoxNews
8,tribunephl,1302219662235557888,2020-09-05 15:18:56+00:00,,1pacman partylist representative eric pineda confirmed tested positive coronavirus,JUST IN 1PACMAN partylist Representative Eric Pineda confirmed he tested positive for coronavirus
9,bluewave8yrs,1302219662084763648,2020-09-05 15:18:56+00:00,,rochester police cant keep stories straight first spitting put hood say coronavirus didnt realize making fun person mental health crisis protocol either murders keep killing poc get riots,Rochester police cant keep their stories straight First he was spitting so they put the hood on Now they say he had Coronavirus I didnt realize making fun of a person in a mental health crisis is protocol either Murders Keep killing POC and you will get riots
10,ptcnews,1302219653364641792,2020-09-05 15:18:54+00:00,#PunjabCM #Coronavirus #CaptainAmarinderSingh,punjab cm capt amarinder singh gets tested covid19 punjabcm coronavirus captainamarindersingh,Punjab CM Capt Amarinder Singh gets himself tested for COVID19 PunjabCM Coronavirus CaptainAmarinderSingh
11,PulpNews,1302219641385820160,2020-09-05 15:18:51+00:00,#school #many,willmar teachers happy start school finding many changes coronavirus sep 5 817 et,Willmar teachers happy to start school finding many changes because of coronavirus Sep 5 817 AM ET
12,JimKuther,1302219614655401984,2020-09-05 15:18:44+00:00,,gop lawmaker urges pelosi call house back dc next week debate coronavirus legislation address rioting,GOP lawmaker urges Pelosi to call House back to DC next week to debate coronavirus legislation and address rioting
13,JPaulos5,1302219611518259200,2020-09-05 15:18:44+00:00,,realdonaldtrump us leads world coronavirus cases didnt stop u taking aim biden choosing wear mask public appearances masks arent protect wearer theyre protect others dont care gop,realDonaldTrump US leads the world in coronavirus cases but that didnt stop U from taking aim at Biden for choosing to wear a mask at public appearances Masks arent to protect the wearer theyre to protect others which you dont care about GOP
14,AmrineDouglas,1302219609295200256,2020-09-05 15:18:43+00:00,,coronavirus luvvs,Coronavirus LUVVS this
15,Jagauress,1302219607516884992,2020-09-05 15:18:43+00:00,,wuhan lab admits three live strains bat coronavirus,Wuhan lab admits to having three live strains of bat coronavirus
16,HEKsROCKS101091,1302219606711468032,2020-09-05 15:18:42+00:00,,one college stopped coronavirus outbreak began good news apple news spotlight,How one college stopped a coronavirus outbreak before it began and more good news Apple News Spotlight
17,drsuebk,1302219603188346880,2020-09-05 15:18:42+00:00,,coronavirus tests could picking dead virus,Coronavirus Tests could be picking up dead virus
18,martinbritnell,1302219593835044864,2020-09-05 15:18:39+00:00,,bs surrounding tests detect dead viruses show positive coronavirus thats forcing people self isolation two weeks putting livelihood risk,What about all the BS surrounding tests that detect dead viruses and show up as positive for coronavirus Thats forcing people into self isolation for two weeks putting their livelihood at risk
19,Palak_Agr,1302219589707689984,2020-09-05 15:18:38+00:00,#HappyTeachersDay #HappyTeachersDay2020,also wish googleindia happyteachersday making us complete assignments helping us studies corona virus pandemic happyteachersday2020,We should also wish GoogleIndia a very HappyTeachersDay for making us complete our assignments and helping us in our studies in this Corona Virus Pandemic HappyTeachersDay2020
20,HishDev,1302219565955461120,2020-09-05 15:18:33+00:00,,hope people like get coronavirus learn lesson way,I hope people like this get Coronavirus and learn a lesson Its the only way
21,IEArtsShowbiz,1302219564248309760,2020-09-05 15:18:32+00:00,,tiffany haddish reveals tested positive coronavirus,Tiffany Haddish reveals she tested positive for coronavirus
22,Mike_Padgett,1302219554890809344,2020-09-05 15:18:30+00:00,,first 100000 counted america via nytimes remembering 100000 lives lost coronavirus america,The first 100000 counted in America via nytimes Remembering the 100000 Lives Lost to Coronavirus in America
23,Gavins_Tweet,1302219548196655104,2020-09-05 15:18:29+00:00,,free press fear corona virus spread course free alternative position possess,This is a free press to fear of corona virus now spread Of course not so free to any alternative position possess
24,BokaroUpdates,1302219542790201344,2020-09-05 15:18:27+00:00,,four times increase testing capacity coronavirus samples jharkhand august tender released get rtpcr tests done private labs pending samples tested,Four Times Increase In Testing Capacity Of Coronavirus Samples In Jharkhand In August Tender Released To Get RTPCR Tests Done At Private Labs Pending Samples To Be Tested
25,HeatherSoper2,1302219521546235904,2020-09-05 15:18:22+00:00,,argentinian lecturer dies suspected coronavirus zoom call via mailonline,Argentinian lecturer dies of suspected coronavirus on Zoom call via MailOnline
26,CarnageMovie,1302219518308216832,2020-09-05 15:18:21+00:00,,indias coronavirus caseload surpassed 4 million deepening misery countrys vast hinterlands surges crippled underfunded health care system,Indias coronavirus caseload has surpassed 4 million deepening misery in the countrys vast hinterlands where surges have crippled the underfunded health care system
27,MYFsingapore,1302219517506904064,2020-09-05 15:18:21+00:00,,ongoing spread coronavirus technology online learning platforms become increasingly essential adapting new normal myf quickly evolved digital platforms tools ensure uninterrupted educational delivery,With the ongoing spread of the coronavirus technology and online learning platforms have become increasingly essential When adapting to this new normal we at MYF have quickly evolved our digital platforms and tools to ensure uninterrupted educational delivery to our
28,Bolo59953915,1302219511832227840,2020-09-05 15:18:20+00:00,,talkin nothing coronavirus nothing big mouth bitch youre good man,What are you talkin about you has nothing to do with the coronavirus nothing you just a big mouth bitch youre not a good man not at all
29,HygieiaMed,1302219503208554496,2020-09-05 15:18:18+00:00,,russian coronavirus vaccine produces immune response early trials,Russian coronavirus vaccine produces immune response in early trials
30,Vicious_One,1302219498598985728,2020-09-05 15:18:17+00:00,,ladies coronavirus dangerous boost immune system get vitamin get sun get vitamin someones son,Ladies Coronavirus is dangerous Boost your immune system Get some vitamin D and get some sun Or get the vitamin D from someones son
31,IamAdamLFC,1302219485630394368,2020-09-05 15:18:14+00:00,,one time favourite videos appropriate corona virus lockdown,That is one of my all time favourite videos and so appropriate for the Corona Virus lockdown
32,voteRumpOUT,1302219482107121664,2020-09-05 15:18:13+00:00,,fda rejects oleandrin unproven coronavirus therapeutic pushed mypillow ceo dietary supplement ingredient,FDA rejects oleandrin an unproven coronavirus therapeutic pushed by MyPillow CEO as a dietary supplement ingredient
33,impactnews_pln,1302219470484766720,2020-09-05 15:18:10+00:00,,frisco isd student staff cases coronavirus reported popular dfw news,Frisco ISD student staff cases of coronavirus reported and more popular DFW news
34,COVIDLive,1302219468823724032,2020-09-05 15:18:10+00:00,#coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic,189 new cases denmark 1318 gmt coronavirus coronavirusupdate covid19 coronaviruspandemic,189 new cases in Denmark 1318 GMT coronavirus CoronaVirusUpdate COVID19 CoronavirusPandemic
35,TheOneHotNews,1302219468198809600,2020-09-05 15:18:09+00:00,#news #coronavirus #spend #time #running #test #real #team,news gt news coronavirus spend time running test real team,more news gt news coronavirus spend time running test real team
36,LynnetteCaprio1,1302219463706771456,2020-09-05 15:18:08+00:00,,keeping truth people grandson home schooling dangerous situation labor day im afraid coronavirus worse nobody taking seriously dr fauci one listen trump gangs gag order wrong,This is keeping the truth from the people My grandson is home schooling This is a dangerous situation After Labor Day Im afraid the coronavirus will be worse Nobody is taking it seriously Dr Fauci is the one to listen to not Trump nor his gangs A gag order is WRONG
37,GFilms7,1302219455737536512,2020-09-05 15:18:06+00:00,,trump says best yet come 410thousand dead january health officials expect second wave coronavirus worse first trump also says vaccine ready go nov elections even doesnt work,Trump says the best is yet to come 410thousand dead by January Health officials expect the second wave of the coronavirus will be worse than the first Trump also says a vaccine will be ready to go before the Nov elections even if it doesnt work
39,PandemicCovid20,1302219440398852096,2020-09-05 15:18:03+00:00,#covid19 #coronavirus,long thin transmission chains severe acute respiratory syndrome coronavirus sarscov2 may go undetected several weeks low moderate reproductive numbers implications containment elimination strategy covid19 coronavirus,Long thin transmission chains of Severe Acute Respiratory Syndrome Coronavirus SARSCoV2 may go undetected for several weeks at low to moderate reproductive numbers Implications for containment and elimination strategy covid19 coronavirus
40,PandemicCovid20,1302219438654025728,2020-09-05 15:18:02+00:00,#covid19 #coronavirus,role school reopening spread covid19 covid19 coronavirus,The role of school reopening in the spread of COVID19 covid19 coronavirus
41,PandemicCovid20,1302219437504782336,2020-09-05 15:18:02+00:00,#longcovid #coronavirus #covid19,high prevalence deep venous thrombosis nonsevere covid19 patients hospitalized neurovascular disease longcovid coronavirus covid19,High prevalence of deep venous thrombosis in nonsevere COVID19 patients hospitalized for a neurovascular disease longcovid coronavirus covid19
42,RobAnybody2,1302219429917401088,2020-09-05 15:18:00+00:00,,instead confronting problem youre going pretend doesnt exist thats pretty much handling coronavirus pandemic 192146 americans died,So instead of confronting a problem youre just going to pretend it doesnt exist Thats pretty much how you are handling the coronavirus pandemic 192146 Americans have died
43,HertsPolFed,1302219427451039744,2020-09-05 15:18:00+00:00,,flint house reopens flint house police rehabilitation centre based oxfordshire preparing reopen monday 7 september coronavirus forced closure earlier year read,FLINT HOUSE REOPENS Flint House the police rehabilitation centre based in Oxfordshire is preparing to reopen on Monday 7 September after coronavirus forced its closure earlier in the year Read more
44,covidnewsCH,1302219427228913664,2020-09-05 15:18:00+00:00,#tech #CoronaInfoCH #COVID19,tech coronainfoch covid19 india coronavirus numbers explained behind u,tech CoronaInfoCH COVID19 India coronavirus numbers explained Behind the u
45,TexasCovid,1302219426599706624,2020-09-05 15:18:00+00:00,#covid19 #coronavirus #texas #tx #covidtexas #texascovid #txlege #texas #TexasCovid19,september 4th 2020 new cases 4215 new fatalities 140 hospitalizations 3889 186 prior day hospital capacity usage 79 positivity rate 97 covid19 coronavirus texas tx covidtexas texascovid txlege texas texascovid19,September 4th 2020 New Cases 4215 New Fatalities 140 Hospitalizations 3889 186 from prior day Hospital Capacity Usage 79 Positivity Rate 97 covid19 coronavirus texas tx covidtexas texascovid txlege texas TexasCovid19
46,nyflgal,1302219422548008960,2020-09-05 15:17:59+00:00,,americans scammed democrats pushed mailin voting ballot harvesting foreigners voting back january 2019 year china coronavirus via gatewaypundit,Americans are Being Scammed Democrats Pushed MailIn Voting Ballot Harvesting and Foreigners Voting Back in January 2019 More than a Year before China Coronavirus via gatewaypundit
47,covidnewsCH,1302219421570740224,2020-09-05 15:17:58+00:00,#tech #CoronaInfoCH #COVID19,tech coronainfoch covid19 chinas cnbg sinovac find countries test coronavirus va,tech CoronaInfoCH COVID19 Chinas CNBG Sinovac find more countries to test coronavirus va
48,fox35orlando,1302219421029666816,2020-09-05 15:17:58+00:00,,gov ron desantis demanding local officials provide information actions county governments city commissions boards commissions taken regarding coronavirus,Gov Ron DeSantis is demanding that local officials provide information about all actions county governments city commissions or other boards or commissions have taken regarding the coronavirus
49,Marskyblue7,1302219419171663872,2020-09-05 15:17:58+00:00,#FoxNews,coronavirus pandemic americans eating healthier buying foods boost immunity foxnews tcells help attack viruses,Coronavirus pandemic has Americans eating healthier buying foods to boost immunity FoxNews Tcells help you attack viruses
50,Sylph,1302219417539850240,2020-09-05 15:17:57+00:00,,coronavirus politics progressives target voters letters mcclatchy washington bureau,Coronavirus politics Progressives target voters with letters McClatchy Washington Bureau
51,DailyMail,1302219412892721152,2020-09-05 15:17:56+00:00,,three dead 147 infected coronavirus outbreak maine wedding,Three are dead and 147 infected after a coronavirus outbreak at a Maine wedding
52,hedwig_lee,1302219397331906560,2020-09-05 15:17:53+00:00,,new orleans hospitals sent patients infected coronavirus hospice facilities back families die home cases discontinuing treatment even relatives begged keep trying,In New Orleans hospitals sent patients infected with the coronavirus into hospice facilities or back to their families to die at home in some cases discontinuing treatment even as relatives begged them to keep trying
