,user,id,date,hashtags,text
0,grebprog,1302219720767213568,2020-09-05 15:19:10+00:00,,key coronavirus forecast predicts 410000 total us deaths jan 1 worst yet come cnbc via googlenews
1,Wwolfhunt,1302219716086435840,2020-09-05 15:19:09+00:00,,sickness worrying coronavirus incompetence vanity killed 190000 americans growing
2,TriviaAi,1302219710419722240,2020-09-05 15:19:07+00:00,,countries ban americans visiting since shithole infestation coronavirus corruption ignorance might change psychopath president convicted treason hanged populace
3,sharonbabes1,1302219708972896256,2020-09-05 15:19:07+00:00,#coronavirus,well done clap spreading coronavirus arses
4,worldbankchina,1302219707488129024,2020-09-05 15:19:06+00:00,#COVID19 #coronavirus #WorldBankPodcast,covid19 coronavirus potential strain healthcare economies development podcast hear africacdcs laktarr001 wbghealths dr muhammed pate coordinated response worldbankpodcast
5,stevebeasant,1302219683119140864,2020-09-05 15:19:01+00:00,#Coronavirus,coronavirus new local lockdown rules
6,LindaGMan1,1302219679080099840,2020-09-05 15:19:00+00:00,#Coronavirus #Covid19 #Health #HealthNews #Science,vitamin deficiency could linked increased risk covid19 university chicago researchers say coronavirus covid19 health healthnews science
7,MrASTM,1302219671769427968,2020-09-05 15:18:58+00:00,#FoxNews,left us entirely moved places like italy switzerland france yes coronavirus homeless crisis tax issues wealthy los angelenos wanting celebrities running away foxnews
8,tribunephl,1302219662235557888,2020-09-05 15:18:56+00:00,,1pacman partylist representative eric pineda confirmed tested positive coronavirus
9,bluewave8yrs,1302219662084763648,2020-09-05 15:18:56+00:00,,rochester police cant keep stories straight first spitting put hood say coronavirus didnt realize making fun person mental health crisis protocol either murders keep killing poc get riots
10,ptcnews,1302219653364641792,2020-09-05 15:18:54+00:00,#PunjabCM #Coronavirus #CaptainAmarinderSingh,punjab cm capt amarinder singh gets tested covid19 punjabcm coronavirus captainamarindersingh
11,PulpNews,1302219641385820160,2020-09-05 15:18:51+00:00,#school #many,willmar teachers happy start school finding many changes coronavirus sep 5 817 et
12,JimKuther,1302219614655401984,2020-09-05 15:18:44+00:00,,gop lawmaker urges pelosi call house back dc next week debate coronavirus legislation address rioting
13,JPaulos5,1302219611518259200,2020-09-05 15:18:44+00:00,,realdonaldtrump us leads world coronavirus cases didnt stop u taking aim biden choosing wear mask public appearances masks arent protect wearer theyre protect others dont care gop
14,AmrineDouglas,1302219609295200256,2020-09-05 15:18:43+00:00,,coronavirus luvvs
15,Jagauress,1302219607516884992,2020-09-05 15:18:43+00:00,,wuhan lab admits three live strains bat coronavirus
16,HEKsROCKS101091,1302219606711468032,2020-09-05 15:18:42+00:00,,one college stopped coronavirus outbreak began good news apple news spotlight
17,drsuebk,1302219603188346880,2020-09-05 15:18:42+00:00,,coronavirus tests could picking dead virus
18,martinbritnell,1302219593835044864,2020-09-05 15:18:39+00:00,,bs surrounding tests detect dead viruses show positive coronavirus thats forcing people self isolation two weeks putting livelihood risk
